Longitude,Latitude,Time,Temperature,elevation
10.1856326,46.6421127,2019-07-16T10:00:51Z,27,1868
10.1929525,46.6447451,2019-07-16T14:01:08Z,25.5,2075
10.1946318,46.6568651,2019-07-16T18:01:07Z,13,1772
10.2159944,46.6629096,2019-07-16T20:00:51Z,16.5,1828
10.0814681,46.7812807,2019-07-16T22:01:06Z,8.5,2410
10.1846364,46.6415104,2019-07-17T02:00:33Z,20.5,1837
10.1846364,46.6415104,2019-07-17T06:01:10Z,12,1837
10.2176663,46.664238,2019-07-17T10:00:33Z,27,1871
10.1852779,46.6412711,2019-07-17T14:00:33Z,24.5,1847
10.203886,46.65618,2019-07-17T18:01:07Z,19,2002
10.1855382,46.6412818,2019-07-17T20:00:35Z,23,1863
10.1855382,46.6412818,2019-07-17T22:01:10Z,11,1863
10.2022937,46.6692551,2019-07-18T02:01:07Z,7.5,2108
10.2022937,46.6692551,2019-07-18T06:01:10Z,15,2108
10.2121831,46.6660891,2019-07-18T10:01:05Z,27,1892
10.2138101,46.665562,2019-07-18T14:01:03Z,25,1870
10.2138101,46.665562,2019-07-18T18:01:10Z,11.5,1870
10.212256,46.6632174,2019-07-18T20:01:10Z,9.5,1802
10.2129159,46.6634462,2019-07-18T22:01:07Z,21.5,1805
10.1851573,46.6414035,2019-07-19T02:00:58Z,26.5,1847
10.1855481,46.6416921,2019-07-19T06:00:33Z,21.5,1868
10.1855758,46.6414423,2019-07-19T10:01:03Z,26,1863
10.1856707,46.6417998,2019-07-19T14:00:34Z,25,1868
10.1948356,46.6527711,2019-07-19T18:01:06Z,25,1867
10.2078542,46.6400011,2019-07-19T20:00:33Z,10,2352
10.2003864,46.6370018,2019-07-19T22:00:38Z,10,2093
10.2003864,46.6370018,2019-07-20T02:01:10Z,10.5,2093
10.2003864,46.6370018,2019-07-20T06:01:10Z,15.5,2093
10.1929778,46.6487819,2019-07-20T10:01:08Z,32,1994
10.185594,46.6420915,2019-07-20T14:00:34Z,30.5,1868
10.185594,46.6420915,2019-07-20T18:01:10Z,18,1868
10.2122744,46.6432081,2019-07-20T20:00:33Z,11.5,2497
10.2050189,46.6171738,2019-07-20T22:01:10Z,11,1967
10.2183334,46.6594133,2019-07-21T02:01:09Z,23,1935
10.1953967,46.6417758,2019-07-21T06:00:57Z,22.5,2069
10.1852341,46.6415314,2019-07-21T10:01:06Z,26,1847
10.1850858,46.6414754,2019-07-21T14:00:33Z,28,1847
10.1849108,46.6414066,2019-07-21T18:00:35Z,26,1837
10.2069299,46.6643766,2019-07-21T20:00:06Z,10,1788
10.1842791,46.6414796,2019-07-21T22:01:08Z,20,1826
10.184918,46.6412541,2019-07-22T02:01:04Z,20,1837
10.1857152,46.6514335,2019-07-22T06:01:10Z,20.5,1749
10.1855461,46.6413718,2019-07-22T10:01:10Z,33,1863
10.1849111,46.6413521,2019-07-22T14:00:36Z,30,1837
